,id,pid,ms_subclass,ms_zoning,lot_frontage,lot_area,lot_shape,land_contour,utilities,land_slope,overall_qual,overall_cond,year_built,year_remod/add,mas_vnr_area,exter_qual,exter_cond,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating_qc,central_air,electrical,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_yr_blt,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,pool_area,pool_qc,fence,misc_val,mo_sold,yr_sold,saleprice
0,109,533352170,60,3,69.0,13517,3,2,4,3,6,8,1976,2005,289.0,4,3,3,3,1,6,533.0,1,0.0,192.0,725.0,5,2,4,725,754,0,1479,0.0,0.0,2,1,3,1,4,6,4,0,1,1976.0,2,2.0,475.0,2,3,2,0,44,0,0,0,0,1,1,0,3,2010,130500
1,544,531379050,60,3,43.0,11492,3,2,4,3,7,5,1996,1997,132.0,4,3,4,3,1,6,637.0,1,0.0,276.0,913.0,5,2,4,913,1209,0,2122,1.0,0.0,2,1,4,1,4,8,4,1,3,1997.0,2,2.0,559.0,2,3,2,0,74,0,0,0,0,1,1,0,4,2009,220000
2,153,535304180,20,3,68.0,7922,4,2,4,3,5,7,1953,2007,0.0,3,4,3,3,1,6,731.0,1,0.0,326.0,1057.0,3,2,4,1057,0,0,1057,1.0,0.0,1,0,3,1,4,5,4,0,1,1953.0,1,1.0,246.0,1,3,2,0,52,0,0,0,0,1,1,0,1,2010,109000
3,318,916386060,60,3,73.0,9802,4,2,4,3,5,5,2006,2007,0.0,3,3,4,3,1,1,0.0,1,0.0,384.0,384.0,4,2,4,744,700,0,1444,0.0,0.0,2,1,3,1,3,7,4,0,1,2007.0,3,2.0,400.0,3,3,2,100,0,0,0,0,0,1,1,0,4,2010,174000
4,255,906425045,50,3,82.0,14235,3,2,4,3,6,8,1900,1993,0.0,3,3,2,4,1,1,0.0,1,0.0,676.0,676.0,3,2,4,831,614,0,1445,0.0,0.0,2,0,3,1,3,6,4,0,1,1957.0,1,2.0,484.0,1,3,0,0,59,0,0,0,0,1,1,0,3,2010,138500
5,138,535126040,20,3,137.0,16492,3,2,4,3,6,6,1966,2002,0.0,4,3,3,3,1,5,247.0,3,713.0,557.0,1517.0,5,2,4,1888,0,0,1888,0.0,0.0,2,1,2,1,4,6,2,1,4,1966.0,3,2.0,578.0,3,3,2,0,0,0,0,0,0,1,1,0,6,2010,190000
6,2827,908186070,180,1,35.0,3675,4,2,4,3,6,5,2005,2006,82.0,3,3,4,3,4,6,547.0,1,0.0,0.0,547.0,4,2,4,1072,0,0,1072,1.0,0.0,2,0,2,1,3,5,4,0,1,2005.0,3,2.0,525.0,3,3,2,0,44,0,0,0,0,1,1,0,6,2006,140000
7,145,535154050,20,3,69.0,12160,3,2,4,3,5,5,1959,1959,180.0,3,3,3,3,1,3,1000.0,1,0.0,188.0,1188.0,2,2,4,1188,0,0,1188,1.0,0.0,1,0,3,1,3,6,4,0,1,1959.0,2,2.0,531.0,2,3,2,0,0,0,0,0,0,1,3,0,5,2010,142000
8,1942,535353130,20,3,69.0,15783,4,2,4,3,5,5,1952,1952,0.0,3,3,3,3,1,3,292.0,1,0.0,632.0,924.0,3,2,4,924,0,0,924,0.0,0.0,1,0,2,1,3,6,4,0,1,1952.0,1,1.0,420.0,1,3,2,0,324,0,0,0,0,1,3,400,6,2007,112500
9,1956,535426130,60,3,70.0,11606,3,4,4,1,5,5,1969,1969,192.0,3,3,4,3,3,3,650.0,1,0.0,390.0,1040.0,3,2,4,1040,1040,0,2080,0.0,1.0,1,2,5,1,2,9,4,2,3,1969.0,1,2.0,504.0,1,3,2,335,0,0,0,0,0,1,1,0,9,2007,135000
